,party,Ja,Nein,Weiss noch nicht
0,FDP,14,12.0,11.0
1,SVP,2,9.0,13.0
2,Grüne,6,,5.0
3,EVP,1,,7.0
4,SP,14,6.0,12.0
5,CVP,7,13.0,6.0
6,BDP,8,,
7,GLP,6,1.0,8.0
